epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7416,1.54188,2.97289,1.33674,0.00338,0.91379,0.28443,0.1273,1.36584,3.43553,1.21223,0.0005,0.0005,0.0005
2,27.2624,1.45386,1.92634,1.24247,0.62538,0.22068,0.28292,0.13455,1.44533,3.25471,1.33405,0.0010099,0.0010099,0.0010099
3,39.8272,1.52407,1.75201,1.30813,0.48438,0.37356,0.38103,0.18651,1.56799,2.71497,1.40317,0.00150951,0.00150951,0.00150951
4,52.0838,1.52226,1.70647,1.31755,0.18556,0.20115,0.13544,0.06769,1.71272,2.74899,1.45594,0.0019406,0.0019406,0.0019406
5,64.18,1.5219,1.5678,1.28506,0.4742,0.37931,0.36844,0.15709,1.71734,2.37821,1.5263,0.0019208,0.0019208,0.0019208
6,76.244,1.53777,1.43096,1.30853,0.81144,0.68391,0.75158,0.37607,1.64025,1.4409,1.49791,0.001901,0.001901,0.001901
7,88.123,1.49001,1.39999,1.28699,0.77358,0.74138,0.79446,0.44389,1.5533,1.23121,1.36278,0.0018812,0.0018812,0.0018812
8,100.376,1.46557,1.27024,1.26754,0.75053,0.76076,0.78939,0.41584,1.56716,1.65091,1.35993,0.0018614,0.0018614,0.0018614
9,112.717,1.42824,1.20477,1.25056,0.5691,0.66795,0.62738,0.31971,1.61394,1.81525,1.376,0.0018416,0.0018416,0.0018416
10,125.152,1.45913,1.13985,1.28645,0.83509,0.75668,0.81854,0.44498,1.52711,1.23015,1.3542,0.0018218,0.0018218,0.0018218
11,137.623,1.40898,1.08591,1.23793,0.8255,0.85632,0.90147,0.50499,1.38031,1.08326,1.26395,0.001802,0.001802,0.001802
12,149.65,1.43967,1.02505,1.27392,0.9358,0.8046,0.93246,0.55002,1.36736,0.88753,1.22147,0.0017822,0.0017822,0.0017822
13,162.046,1.41251,1.03987,1.26003,0.89281,0.86168,0.93664,0.55457,1.32609,0.88609,1.21281,0.0017624,0.0017624,0.0017624
14,174.276,1.40569,1.02995,1.22532,0.90205,0.79387,0.91797,0.52652,1.40525,0.92165,1.29096,0.0017426,0.0017426,0.0017426
15,186.558,1.38592,1.01647,1.22959,0.90363,0.86221,0.91809,0.55528,1.30763,0.86633,1.21679,0.0017228,0.0017228,0.0017228
16,199.049,1.34064,0.94396,1.20159,0.90849,0.79878,0.88523,0.51999,1.3763,0.94449,1.25125,0.001703,0.001703,0.001703
17,211.363,1.36295,0.93952,1.20422,0.90265,0.87931,0.92888,0.53852,1.36793,0.84925,1.23793,0.0016832,0.0016832,0.0016832
18,223.593,1.34682,0.92354,1.20183,0.90657,0.83653,0.92976,0.57769,1.28599,0.80545,1.1888,0.0016634,0.0016634,0.0016634
19,235.852,1.34056,0.88135,1.20056,0.91935,0.85165,0.9434,0.59158,1.23227,0.78665,1.1893,0.0016436,0.0016436,0.0016436
